Date,Treatment,pH ,mV,Salinity,Temp,TA_1,TA_2,TA_Avg,Ta_mol/kg,ALK_seacarb
2022-04-23,Acidic,7.329,-12.5,12.4,18.4,1739.08,847.03,1293.055,1.293055,0.001293055
2022-04-24,Acidic,7.284,-10,12.4,18.4,,,,,
2022-04-25,Acidic,7.289,-10.3,12.51,18.3,,,,,
2022-04-26,Acidic,7.36,-14.2,12.45,18.2,1126.65,1209.39,1168.02,1.16802,0.00116802
2022-04-27,Acidic,7.324,-13.2,12.19,18.4,,,,,
2022-04-28,Acidic,7.368,-14.6,12.66,18.4,,,,,
2022-04-29,Acidic,7.301,-11,12.5,18.3,724.77,1221.83,973.3,0.9733,0.0009733
2022-05-02,Acidic,7.291,-10.4,12.73,18.2,,,,,
2022-01-26,Ambient,7.788,-39,12.88,18.7,,,,,
2022-01-27,Ambient,7.814,-41.3,12.93,17.8,,,,,
2022-01-28,Ambient,7.737,-37,12.13,17.9,926.18,941.62,933.9,0.9339,0.0009339
2022-01-31,Ambient,7.762,-38.4,12.68,17.9,937.71,942.05,939.88,0.93988,0.00093988
2022-02-01,Ambient,7.756,-38.1,12.17,17.9,,,,,
2022-02-02,Ambient,7.716,-35.9,12.85,18,,,,,
2022-02-03,Ambient,7.792,-40.1,13.21,18,946.1,963.96,955.03,0.95503,0.00095503
2022-02-04,Ambient,7.802,-39.9,13.04,17.9,,,,,
2022-02-07,Ambient,7.792,-39.3,12.72,17.8,916.98,934.21,925.595,0.925595,0.000925595
2022-02-08,Ambient,7.826,-41.2,12.81,17.9,,,,,
2022-02-10,Ambient,7.837,-41.9,12.41,17.9,962.66,972.27,967.465,0.967465,0.000967465
2022-02-12,Ambient,7.836,-41.8,12.93,17.9,966.6,963.49,965.045,0.965045,0.000965045
2022-02-14,Ambient,7.826,-41.2,12.66,17.9,965.05,939.48,952.265,0.952265,0.000952265
2022-02-15,Ambient,7.814,-40.6,12.77,17.9,,,,,
2022-02-16,Ambient,7.779,-38.6,12.83,17.9,,,,,
2022-02-17,Ambient,7.807,-40.2,12.48,17.9,912.53,927.43,919.98,0.91998,0.00091998
2022-02-18,Ambient,7.794,-40.6,12.62,17.9,,,,,
2022-02-21,Ambient,7.751,-38.2,12.76,17.9,926.35,908.7,917.525,0.917525,0.000917525
2022-02-22,Ambient,7.76,-38.8,12.76,17.9,,,,,
2022-02-23,Ambient,7.777,-39.7,12.87,17.9,922.62,928.51,925.565,0.925565,0.000925565
2022-02-28,Ambient,7.781,-39.9,12.2,17.9,933.74,876.4,905.07,0.90507,0.00090507
2022-03-01,Ambient,7.753,-38.4,12.39,17.9,,,,,
2022-03-03,Ambient,7.769,-39.3,12.52,17.9,,,,,
2022-03-04,Ambient,7.757,-38.6,12.41,18,899.2,888.96,894.08,0.89408,0.00089408
2022-03-05,Ambient,7.76,-38.4,12.54,18.2,,,,,
2022-03-06,Ambient,7.77,-39.4,12.7,18,916.68,923.41,920.045,0.920045,0.000920045
2022-03-07,Ambient,7.769,-39.3,12.7,18,,,,,
2022-03-08,Ambient,7.778,-39.8,12.85,18.1,,,,,
2022-03-09,Ambient,7.769,-39.2,12.83,18,925.22,906.72,915.97,0.91597,0.00091597
2022-03-10,Ambient,7.758,-38.6,13,18,,,,,
2022-03-14,Ambient,7.715,-36.2,12.38,17.8,1345.68,1433.64,1389.66,1.38966,0.00138966
2022-03-15,Ambient,7.758,-38.6,12.83,17.9,,,,,
2022-03-17,Ambient,7.738,-37.1,12.98,17.7,1303.62,1949.6,1626.61,1.62661,0.00162661
2022-03-21,Ambient,7.643,-32.2,12.08,17.8,1307,1095.42,1201.21,1.20121,0.00120121
2022-03-22,Ambient,7.674,-34,12.23,18,,,,,
2022-03-23,Ambient,7.689,-34.8,12.35,18.1,,,,,
2022-03-24,Ambient,7.675,-34.1,12.46,18.2,960.93,1955.32,1458.125,1.458125,0.001458125
2022-03-28,Ambient,7.691,-35,12.5,18.1,1823.79,1600.49,1712.14,1.71214,0.00171214
2022-03-29,Ambient,7.665,-33.5,13.01,18.2,,,,,
2022-03-30,Ambient,7.689,-34.8,13.1,18,,,,,
2022-03-31,Ambient,7.686,-34.7,12.8,18.3,885.08,960.38,922.73,0.92273,0.00092273
2022-04-08,Ambient,7.738,-37.1,12.4,18.2,794.26,698.12,746.19,0.74619,0.00074619
2022-04-20,Ambient,7.62,-28.4,12.31,18.2,622.43,633.5,627.965,0.627965,0.000627965
2022-04-21,Ambient,7.575,-26,12.3,18.3,,,,,
2022-04-22,Ambient,7.557,-25,12.2,18.4,,,,,
2022-04-23,Ambient,7.54,-24,12.29,18.4,624.69,599.19,611.94,0.61194,0.00061194
2022-04-24,Ambient,7.586,-26.5,12.24,18.4,,,,,
2022-04-25,Ambient,7.562,-25.2,12.42,18.4,,,,,
2022-04-26,Ambient,7.507,-22.2,12.09,18.3,562.45,565.1,563.775,0.563775,0.000563775
2022-04-27,Ambient,7.543,-24.2,12.15,18.3,,,,,
2022-04-28,Ambient,7.608,-,12.34,18.4,,,,,
2022-04-29,Ambient,7.555,-24.8,12.38,18.3,624.42,672.18,648.3,0.6483,0.0006483
2022-05-02,Ambient,7.567,-25.5,12.54,18.3,,,,,
